Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
335129206031,New Democratic Party,New Democratic Party,79601,209
340141731122,Dr. The Hon. Godwin Friday,New Democratic Party,34013,79
675823195926658,Get Rid Ah Dem,Get Rid Ah Dem,25893,365
100532385121912,Laverne Gibson-Velox,New Democratic Party,7386,28
113493770351528,Dwight Fitzgerald Bramble,New Democratic Party,4320,23
107984034411641,Shevern John,New Democratic Party,3940,25
377291179528,Roland 'Patel' Matthews,New Democratic Party,3124,27
15806235582,Nigel Stephenson MP,New Democratic Party,2868,16
1399804373592047,Benjamin Exeter - NDP,New Democratic Party,2639,26
109821354177965,Honourable. Daniel E. Cummings,New Democratic Party,917,7
141595882556114,Unity Labour Party,Unity Labour Party,588,11
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,464,16
140168796594537,Senator Israel Bruce,New Democratic Party,444,14
103056841810673,Free and Fair,Free and Fair Elections,441,9
103825446351555,Ralph Gonsalves,These ads ran without a disclaimer,354,6
335129206031,New Democratic Party,These ads ran without a disclaimer,189,4
28312410177,World Food Programme,These ads ran without a disclaimer,130,147
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,118,11
973494079350552,Unity Youths East Kingstown,These ads ran without a disclaimer,116,8
112743943752226,SVG Family,These ads ran without a disclaimer,104,3
287683225711,UN Environment Programme,UN Environment Programme,≤100,16
168781357007535,Kay R.A Bacchus Baptiste For WSG,Kamal Bacchus-Browne,≤100,7
804997446264798,Chic Me,These ads ran without a disclaimer,≤100,1
79355523842,University of the People,These ads ran without a disclaimer,≤100,6
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,64
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100,23
113172406792188,Mark J.N Doyle,Mark Juliano Nellano Doyle,≤100,7
97320092545,PAHO-WHO,These ads ran without a disclaimer,≤100,7
168781357007535,Kay R.A Bacchus Baptiste For WSG,New Democratic Party,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,98
174669235904729,Sagicor Cave Hill School of Business and Management - The UWI Cave Hill,These ads ran without a disclaimer,≤100,1
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100,41
103468501590488,The Correctness,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
105714061313601,Asric Jardine,These ads ran without a disclaimer,≤100,3
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100,14
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,39
108506974608904,The Chrysos Academy,Annie Aligwe,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,44
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,32
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,24
155608484462320,Healthy Caribbean Coalition,These ads ran without a disclaimer,≤100,3
167327710092323,Mollaei Law,These ads ran without a disclaimer,≤100,25
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,37
104539481075836,Dr. Mineva Glasgow,These ads ran without a disclaimer,≤100,2
857287714288855,The Church of Jesus Christ of Latter-day Saints - Caribbean,These ads ran without a disclaimer,≤100,2
101516212181501,AIO Browser,These ads ran without a disclaimer,≤100,7
248986568895243,Speechify,These ads ran without a disclaimer,≤100,17
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,14
104663587988947,Red Ants 5.0,These ads ran without a disclaimer,≤100,3
287683225711,UN Environment Programme,UN Environment Programme with Facebook Ad Credits,≤100,21
