Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
167924015580,Cayman Islands Government,Cayman Islands Government,12011,106
122560994513217,The Progressives,The Progressives,5507,108
122560994513217,The Progressives,The People's Progressive Movement,3958,42
102959501798568,Now for Nicholson-Coe,DANIEL NEHRU NICHOLSON-GARDNER,2523,107
425571700848977,Wayne Panton MP for Newlands,Kelly Holding,1832,24
115253173936183,Arden McLean The Action Man,Luis Alberto Vallecillo Chavez,1720,19
101499368399785,Alricforcayman Gts,Alric Jeremy Lindsay,1593,16
111445637657700,Johann Moxam for George Town North,Johann Moxam for George Town North,1407,29
164817461883445,Pearlina McGaw-Lumsden,Jewel Marissa Hydes,1351,62
105417131483549,Chris Saunders MP,Luis Alberto Vallecillo Chavez,1162,9
107330064737581,"Barbara Conolly JP, MP",Sasha Anglin-Espeut,1075,14
1387034611318846,"Alva Suckoo, MP for  Newlands 2021",Alva Suckoo,912,27
100528072275410,Community Concerns,Alric Jeremy Lindsay,903,11
111764107760353,Ministry of Tourism & Ports,Ministry of Tourism & Transport,891,57
293138914148353,Joseph Hew,The Progressives,833,16
106830311398059,Heather Bodden - MP for Savannah,Kelly Holding,822,8
101610808601000,Osbourne Bodden - Bodden Town East,Kelly Holding,754,10
105877828038548,"Malcolm Anthony Eden, Savannah, Grand Cayman",Dragonfly 360 Limited,659,12
379378971919817,Don'tpaveparadise,Don't Pave Paradise,622,8
336188340903912,Cayman CandyDates,These ads ran without a disclaimer,616,10
107015628103656,David Wight,Sasha Anglin-Espeut,597,8
105268634869575,Roy McTaggart,The Progressives,547,16
100913098728698,Andre Ebanks MP,Vote Andre Ebanks,509,12
100870455418672,Bernie Bush,Luis Alberto Vallecillo Chavez,478,9
192268647934950,Dwayne 'John John' Seymour- Bodden Town East,The Committee to Re-Elect Dwayne Seymour for Bodden town East,476,16
115105804937430,Chris Saunders MP,Forward Together,446,8
105614418231607,"Samuel ""Sammy"" Jackson - Red Bay Candidate",James Samuel Jackson,383,14
102959501798568,Now for Nicholson-Coe,Raul Nicholson-Coe,361,19
107015628103656,David Wight,The Progressives,359,5
135304723313755,The Real Alden Mclaughlin,The Progressives,357,10
1774393956129805,Kenneth Bryan,Luis Alberto Vallecillo Chavez,350,1
28312410177,World Food Programme,These ads ran without a disclaimer,334,126
107330064737581,"Barbara Conolly JP, MP",The Progressives,315,7
