Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1439827996248795,Belize City Council,Belize City Council,10562,605
150561598426238,San Pedro Town Council,San Pedro Town Council,2673,351
107456914364851,PlanBelize,People's United Party,2400,139
1496442900615787,UDP Belize,Roosevelt Blades,2220,85
143765216436631,Hon. Shyne Barrow LOO 13 MP-Mesopotamia-UDP,Moses Michael Levi Barrow,2068,158
101004744698281,Youths Supporting Faber for Leader,Youths Supporting Faber for Leader,1115,92
100489009551455,"See The Difference, SISE 2024","See The Difference, SISE 2024",1044,41
608327242648415,Hon. Patrick Faber,Andre Pitts,900,45
1655535767867657,Thea Ramirez Corozal Bay,Thea Ramirez Corozal Bay,893,53
783765415060974,True Blue PUP,True Blue PUP,797,107
689808324458463,PUP Belize Rural South,People's United Party - Belize Rural South,723,107
108356319012017,Nelma Jones Mortis  for Mayor,Nelma Jones Mortis  for Mayor,636,30
290089118157660,PUP Corozal,PUP Corozal,571,45
461611154185416,OJ Elrington for Freetown,Orson Jerome Elrington,547,49
68793499001,UNICEF,UNICEF with Facebook Ad Credits,482,311
119553227554,Hon. John Briceno,the People's United Party,455,37
1496442900615787,UDP Belize,Andre Pitts,444,11
1658726304355469,Tracy For Albert,Shane Devon Williams,430,38
592539434208175,Hon. Micho Chebat,Michel Hannah Chebat Jr.,430,23
117517458336081,Julius Espat - Cayo South,Julius Espat,399,25
101448398337801,Anna Banner Guy for Belmopan,Anna Banner Guy for Belmopan,394,86
608327242648415,Hon. Patrick Faber,Roosevelt Blades,392,33
103331925583738,PUP San Pedro,PUP San Pedro,388,38
104405174500952,Hon. Jorge Espat-Cayo West,Cristian Danny Castellanos,385,39
100708285000852,Big Sale To Day,These ads ran without a disclaimer,328,6
105424024798505,Tariq A Cano,Cristian Danny Castellanos,324,32
175908539903652,Hon. Oscar Mira - Belmopan,Brian Kelly Mira,313,36
2661886577173291,Chon Saan Palace,Lee Mark Chang Jp,301,28
1496442900615787,UDP Belize,Shane Devon Williams,293,23
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,277,14
1776848102635686,Omar Figueroa Cayo North,Omar Antonio Figueroa,276,16
28312410177,World Food Programme,These ads ran without a disclaimer,275,150
104452898209907,Building a Brighter Tomorrow for San Ignacio and Santa Elena,Matthew Preston,271,10
1414022412226711,Shane Williams For Queen Square,Shane Devon Williams,242,26
100564485266590,Serve Together SISE 2021,Matthew Preston,241,13
107124074561770,Belize Marine life,These ads ran without a disclaimer,229,6
287683225711,UN Environment Programme,UN Environment Programme,228,16
105855544503434,UDP Watch,People's United Party,215,8
107453657453405,Hon. Orlando Habet Minister of Sustainable Development,Orlando Habet,213,13
316879205127844,Hon Kareem Musa - Minister of Home Affairs and New Growth Industries,Kareem D Musa,211,25
1447061882188378,Elodio Aragon Jr.,Elodio Adrian Aragon,210,20
102806181794474,Orson Picart For Political Office,Orson Picart,207,57
101984965151122,Valencia para Corozal Norte,Valencia para Corozal Norte,201,51
183297738191023,Pablo for Mayor-Bmp Pup 7,Pablo for Mayor-Bmp Pup 7,195,18
1496442900615787,UDP Belize,UDP Belize,181,5
763115300744658,Denny Grijalva OW Central,Denni Grijalva,155,7
103544829416602,"San Pedro Women, Youths & Children Affairs","San Pedro Women, Youths & Children Affairs",154,25
100319602070489,Councillor Deannie Requena,Deannie Deyonnicia Requena,151,23
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,138,117
262544684280133,Councilor Allan Pollard,Allan Hepburn Pollard,129,5
104895421899483,Caye Caulker PUP 7 2022,PUP Caye Caulker,128,15
